yearcase,uniqueid,caseid,wave,party_survey,party_elected,pp1990_w,pp1993_w,pp1997_w,pp2001_w,pp2005_w,pp2009_w,pp2013_w,pp1986_e,pp1990_e,pp1994_e,pp1998_e,pp2002_e,pp2006_e,pp2010_e,region,age,elecsys,pplist,parlame,parlsys,fidelit,munelec,concurr,needmps,needmps2,needmps_all,abusemp,presinf,colig,cprep,cppol,cplimit,cpurnas,cpfisio,cpcorr,cpslow,cpmps,cpcenter,cpswitch,cpgovern,cpcands,cpparl,impinst,dilemma,coalperc,believe,demands,imptmin,efforts,exparea,expmin,promise,pporg,econaid,success,nocomp,bases,elecamp,famtrad,carisma,expel,expel2,expel_all,others,ppswitch,ppswitc2,ppswitch_all,execut,clients,clients2,clients_all,ppvsreg,prescand,govcand,plenario,defideo,visitas,visitas2,visitas_all,pedidos,pedidos2,pedidos_all,destpp,destpp2,destpp_all,pork,pork2,pork_all,destcn,destcn2,destcn_all,entidade,entidad2,entidade_all,local,local2,local_all,boletins,tvradio,discplen,votplen,intbill,amend,speaker,commiss,execpp,talkmil,fedbur,locbur,press,civsoc,mtsarney,mtcollor,favors,position,redtape,account,timevtr,timepref,timebill,timemisc,sarney,collor,itamar,cardoso1,cardoso2,lula,congress,partysys,coalgood,presscn,psdbpt,terms,pds1980,pmdb1980,pp1980_80,pdt1980,pt1980,ptb1980,outro1980,np1980,arena1966,mdb1966,outro1966,np1966,vereador,depest,senador,depfed,prefvice,govvice,ministro,secest,family,elei1990,occup,dempmdb,dempfl,dempds,dempsdb,demprn,dempdt,demptb,dempt,dempl,dempcdb,dempdc,dempcb,dempsb,dempstu,econdev,socord,demcons,ffaaint,ffaadem,mindef,minciv,extsni,lrclass,lrpmdb,lrdem,lrpcb,lrpcdob,lrpdc,lrpds,lrpdt,lrpfl,lrpl,lrpp,lrpp_ppb,lrppr,lrpps,lrpr,lrprn,lrpsb,lrpsd,lrpsdb,lrpsol,lrpstu,lrpt,lrptb,lrpv,lrsarney,lrcollor,lritamar,lrfhc,lrlula,lrdilma,econlmr,gov2006,pres2006,vot1989_1,vot1989_2,renda,inicpriv,govresp,concorr,getrich,trabvida,enviro,saude,edfund,edsuper,infra,socpol,flforpol,flallies,flviolence,fljudicial,flregulate,flrace,flpolref,flpreviden,flantipov,flanticorr,flgovrel,flsociety,flmonetary,dlforpol,dlallies,dlviol,dlinfra,dlrace,dlantpov,dlgender,dltecno,dlcorrup,dlgovrel,dlfiscal,dlcivsoc,dlmonet,dlhrmil,dlpetro,fpallies,fpecdev,fpinteg,fpauth,fpoecd,fpoecd2,fpoecd_all,china,onuseg,brfdi,bndes,cotaafro,cotrenda,casament,aborto,tengoal1,tengoal2,currentgoal1,currentgoal2,othergoal1,othergoal2,bfpobre,bfpref,bfbase,bflula,bfmywin,cites,amends,approved,econlmr1990,mnclmr,agrlmr,lrlmr,diap,kinzo,reldisc,absdisc,econdiap,ideodiap,presdiap,bcdiap,jurodiap,evangel,diapstar,diaphist,pm4,pm12,czideo,czideose,pweight
1990001,1001,1,1990,11,11,11,,,,,,,11,,,,,,,1,10,2,1,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13,2,5,23,10,5,2,7,9,2,9,,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,1,1,4,1,3,4,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,27,10,10,10,10,99,5,9,4,10,2,10,5,3,,4,2,,1,1,3,1,3,5,4,,4,1,5,7,2,7,8,,,,,,99,2,,4,,,1,6,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,,3.75,2.73,84.83,72.42,,,,,,,,,,,0.571643292,0.214547851,.9319298
1990002,1002,2,1990,15,15,15,,,,,,,15,,,,,,,3,5,2,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,19,2,5,19,8,4,1,7,7,2,9,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,15,10,8,6,10,9,7,7,4,7,5,6,5,5,,3,4,,9,2,2,2,1,5,5,,1,1,8,9,99,7,7,,,,,,99,3,,99,,,2,6,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,226,76,,,,,2.25,-2.22,68.13,39.63,,,,,,,,,,,0.287773923,0.20505956,1.134655
1990003,1003,3,1990,11,11,11,,,,,,,11,,,,,,,4,6,1,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23,8,4,33,6,3,2,7,3,3,4,,8,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,3,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,10,8,8,8,1,7,4,5,3,7,3,7,3,3,,3,2,,1,2,3,2,3,5,4,,1,1,6,6,4,6,6,,,,,,5,1,,4,,,1,6,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,197,42,1,2,2,3,0.75,7.78,88.13,69.17,,,,,,,,,,,0.951591533,0.285780248,.9319298
1990004,1004,4,1990,15,15,15,,,,,,,15,,,,,,,5,6,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13,2,1,99,9,7,1,6,5,6,7,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,4,2,3,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,28,7,7,7,7,7,5,3,2,7,1,7,4,2,,1,2,,1,1,1,1,3,6,5,,3,1,6,6,4,6,6,,,,,,5,2,,4,,,1,6,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,55,14,,,,,0.00,10.00,51.08,26.69,,,,,,,,,,,1.629757846,0.263828776,1.134655
1990005,1005,5,1990,22,15,22,,,,,,,15,,,,,,,1,5,1,1,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2,1,23,2,4,33,7,3,1,8,6,8,9,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,3,2,1,3,4,3,3,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,9,9,9,9,0,0,0,9,1,2,20,10,10,10,6,10,5,10,2,10,1,10,3,2,,4,2,,0,2,1,2,3,7,4,,1,1,7,10,2,9,7,,,,,,7,1,,3,,,1,6,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,24,1,2,1,3,1.00,7.50,57.89,36.98,,,,,,,,,,,1.338836684,0.202264938,.9222222
1990006,1006,6,1990,25,25,25,,,,,,,25,,,,,,,2,7,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,2,5,99,10,9,1,6,1,3,10,,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,2,4,3,2,3,4,3,3,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,5,10,10,10,10,10,10,10,4,10,1,10,8,8,,3,2,,1,1,1,2,9,5,4,,2,1,5,6,4,5,5,,,,,,99,3,,4,,,1,99,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,99,30,1,2,,3,2.25,5.00,78.39,44.84,,,,,,,,,,,1.168402177,0.319210013,1.048421
1990007,1007,7,1990,15,15,15,,,,,,,15,,,,,,,2,9,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,2,2,3,10,5,1,8,99,5,8,,99,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,9,9,1,1,9,9,3,4,,,,,,,,,,,,,,,,,,,,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,15,5,99,99,99,99,7,8,99,99,99,8,99,8,,4,3,,0,2,1,4,1,2,5,,1,1,10,10,2,10,10,,,,,,10,1,,5,,,1,5,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,279,86,,,,,10.00,-10.00,,,,,,,,,,,,,-1.165502502,0.232705122,1.134655
1990008,1008,8,1990,25,25,25,,,,,,,25,,,,,,,2,6,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,88,1,4,18,8,2,99,99,99,2,8,,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,3,2,1,4,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,28,99,99,99,99,99,99,99,99,99,99,99,99,99,,2,4,,1,9,4,1,4,99,99,,99,99,99,99,99,5,99,,,,,,99,99,,99,,,99,99,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,73,18,,,,,0.75,4.29,87.10,47.38,,,,,,,,,,,1.372953982,0.394917928,1.048421
1990009,1009,9,1990,15,15,15,,,,,,,15,,,,,,,2,3,1,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,8,5,99,10,8,1,7,3,7,10,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,4,3,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,27,8,3,2,8,5,8,5,8,7,8,5,8,8,,4,4,,0,2,2,3,1,3,5,,1,1,10,10,4,7,8,,,,,,7,1,,5,,,1,8,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,2,3,3,4,8.00,-10.00,64.14,48.55,,,,,,,,,,,-0.795400188,0.216511054,1.134655
1990010,1010,10,1990,11,11,11,,,,,,,11,,,,,,,2,2,1,1,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,2,3,33,8,7,5,10,8,99,4,,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,1,2,2,1,3,9,3,2,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,20,10,10,10,3,5,1,8,1,8,1,8,1,1,,4,1,,1,2,4,2,3,8,6,,2,1,10,10,3,10,9,,,,,,4,1,,2,,,2,7,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,68,22,1,2,2,4,1.00,3.33,88.95,41.41,,,,,,,,,,,1.447413522,0.336986186,.9319298
